"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,34.5086371934452,196.352551315524,5.43192962473902,59.4825889170078,48.6430900257425,0,1.18603373934794
"2",0.1,34.5086243681106,196.352551376055,5.43192962473904,59.4825889263431,48.6430900909524,0,1.18603373934796
"3",0.2,34.5085556922528,196.35255207661,5.43192962473966,59.4825890351093,48.6430908402793,0,1.18603373934859
"4",0.3,34.5083975780755,196.352554638655,5.4319296247433,59.4825894357659,48.6430935592428,0,1.18603373935222
"5",0.4,34.5081233813784,196.352560724341,5.4319296247553,59.4825903943838,48.6430999656775,0,1.18603373936422
"6",0.5,34.5077103978084,196.352572327088,5.43192962478478,59.4825922351787,48.6431120807795,0,1.18603373939371
"7",0.6,34.5071387221428,196.352591699782,5.4319296248453,59.4825953303301,48.6431321442428,0,1.18603373945424
"8",0.7,34.5063906351854,196.352621301063,5.43192962495534,59.4826000922556,48.6431625513148,0,1.1860337395643
"9",0.8,34.5054502200791,196.352663753275,5.43192962513882,59.482606967412,48.6432058042719,0,1.18603373974781
"10",0.9,34.5043030987127,196.352721808151,5.43192962542543,59.482616431093,48.6432644736448,0,1.18603374003447
"11",1,34.5029362388255,196.352798318303,5.43192962585097,59.4826289829662,48.6433411668462,0,1.18603374046009
"12",1.1,34.5013378061099,196.352896213239,5.43192962645758,59.4826451431752,48.6434385025304,0,1.18603374106681
"13",1.2,34.4994970467,196.353018478919,5.43192962729397,59.4826654488966,48.643559089586,0,1.18603374190334
"14",1.3,34.4974041910688,196.353168140266,5.43192962841555,59.4826904512651,48.6437055098106,0,1.18603374302511
"15",1.4,34.495050373615,196.35334824608,5.4319296298846,59.4827207126108,48.6438803037072,0,1.18603374449443
"16",1.5,34.4924275640616,196.353561855995,5.43192963177036,59.4827568039645,48.6440859588574,0,1.18603374638051
"17",1.6,34.4895285079776,196.353812029196,5.43192963414904,59.4827993027938,48.6443249004638,0,1.18603374875959
"18",1.7,34.4863466744944,196.354101814606,5.43192963710391,59.4828487909434,48.6445994837321,0,1.18603375171496
"19",1.8,34.4828762098059,196.354434242375,5.43192964072527,59.4829058527552,48.6449119878178,0,1.18603375533694
"20",1.9,34.4791118953904,196.354812316477,5.43192964511049,59.482971073351,48.6452646111087,0,1.1860337597229
"21",2,34.475049110145,196.3552390083,5.43192965036389,59.4830450370611,48.6456594676482,0,1.18603376497717
"22",2.1,34.470683795803,196.355717251087,5.43192965659675,59.4831283259846,48.6460985845338,0,1.18603377121107
"23",2.2,34.4660124251431,196.356249935133,5.43192966392722,59.4832215186722,48.6465839001565,0,1.18603377854276
"24",2.3,34.4610319725914,196.356839903655,5.43192967248023,59.4833251889183,48.6471172631506,0,1.18603378709718
"25",2.4,34.4557398869012,196.357489949231,5.43192968238738,59.4834399046549,48.6477004319577,0,1.18603379700595
"26",2.5,34.450134065652,196.358202810794,5.43192969378683,59.4835662269413,48.6483350749126,0,1.18603380840726
"27",2.6,34.4442128313515,196.358981171063,5.43192970682316,59.4837047090392,48.6490227707693,0,1.18603382144571
"28",2.7,34.4379749089675,196.359827654393,5.43192972164726,59.4838558955693,48.6497650096096,0,1.18603383627221
"29",2.8,34.4314194047382,196.360744825005,5.43192973841615,59.4840203217434,48.6505631940604,0,1.1860338530438
"30",2.9,34.424545786137,196.36173518552,5.43192975729284,59.4841985126663,48.6514186407819,0,1.18603387192351
"31",3,34.4173538628882,196.362801175804,5.43192977844615,59.4843909827029,48.6523325821725,0,1.1860338930802
"32",3.1,34.4098437689385,196.363945172058,5.43192980205056,59.484598234907,48.6533061682562,0,1.18603391668836
"33",3.2,34.4020159453101,196.365169486155,5.431929828286,59.4848207605072,48.6543404687168,0,1.18603394292795
"34",3.3,34.3938711237652,196.366476365167,5.4319298573377,59.4850590384464,48.6554364750482,0,1.18603397198422
"35",3.4,34.3854103112244,196.367867991093,5.43192988939596,59.4853135349717,48.6565951027955,0,1.18603400404751
