"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,34.5086371934452,196.352551315524,5.43192962473902,59.4825889170078,48.6430900257425,0,1.18603373934794
"2",0.1,34.5085650618021,196.352551678678,5.43192962473918,59.4825889730354,48.6430904168062,0,1.1860337393481
"3",0.2,34.5082462826065,196.352555204124,5.43192962474251,59.482589520799,48.6430941846175,0,1.18603373935143
"4",0.3,34.5075872322227,196.352566797402,5.43192962476001,59.4825913359479,48.6431064713423,0,1.18603373936893
"5",0.4,34.5065216761809,196.352592426899,5.43192962481382,59.4825953795346,48.643133401579,0,1.18603373942276
"6",0.5,34.5049961913053,196.352638762001,5.43192962493917,59.4826027448254,48.6431816698644,0,1.18603373954813
"7",0.6,34.5029654677463,196.352712971254,5.43192962518576,59.4826146272556,48.643258311247,0,1.18603373979477
"8",0.7,34.5003900314844,196.352822587926,5.43192962561892,59.4826323038725,48.6433705508851,0,1.186033740228
"9",0.8,34.4972349334135,196.352975412964,5.43192962632039,59.4826571179448,48.6435256980383,0,1.1860337409296
"10",0.9,34.4934689142284,196.353179441345,5.4319296273891,59.4826904667335,48.6437310683404,0,1.1860337419985
"11",1,34.4890638341912,196.35344280446,5.43192962894162,59.4827337914282,48.643993925486,0,1.18603374355129
"12",1.1,34.4839942630197,196.353773724014,5.43192963111264,59.4827885686287,48.6443214369586,0,1.18603374572269
"13",1.2,34.4782371734421,196.354180474569,5.43192963405524,59.4828563029827,48.6447206402515,0,1.18603374866581
"14",1.3,34.4717717049119,196.354671352716,5.43192963794116,59.4829385207288,48.6451984171282,0,1.1860337525524
"15",1.4,34.4645789762234,196.355254651504,5.43192964296088,59.4830367639605,48.6457614741754,0,1.18603375757299
"16",1.5,34.4566419338778,196.355938639024,5.43192964932376,59.4831525854713,48.6464163283054,0,1.18603376393696
"17",1.6,34.4479452265619,196.35673154046,5.43192965725799,59.4832875441028,48.647169296284,0,1.18603377187255
"18",1.7,34.4384750997625,196.357641522909,5.43192966701059,59.4834432005015,48.648026487425,0,1.1860337816268
