"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477461,92.7950184988885,4.9313299527367,38.5868300655299,31.6090098251018,0,0.680418929037924
"2",0.1,6.76436341630136,92.7950184891321,4.93132995273865,38.5868300812809,31.6090098479726,0,0.680418929039907
"3",0.2,6.76434467966325,92.7950183919497,4.93132995275785,38.5868302355763,31.6090100666472,0,0.680418929058945
"4",0.3,6.76430592317425,92.7950180657464,4.9313299528545,38.5868307486686,31.6090107748264,0,0.680418929154518
"5",0.4,6.76424321597677,92.7950173298926,4.93132995315031,38.5868318959765,31.6090123166881,0,0.680418929446941
"6",0.5,6.76415335933969,92.7950159728545,4.93132995384,38.5868339938601,31.6090150626187,0,0.68041893012861
"7",0.6,6.76403360914318,92.7950137566045,4.93132995520001,38.5868373917701,31.6090193962125,0,0.680418931472663
"8",0.7,6.76388154098678,92.7950104195923,4.93132995759562,38.5868424669536,31.6090257061533,0,0.680418933839978
"9",0.8,6.76369497203755,92.7950056789333,4.93132996148701,38.5868496205606,31.6090343808177,0,0.680418937685128
"10",0.9,6.76347191137719,92.7949992321611,4.93132996743421,38.5868592745896,31.6090458046635,0,0.68041894356129
"11",1,6.76321052586682,92.7949907586601,4.93132997610161,38.5868718694075,31.6090603557044,0,0.680418952124627
"12",1.1,6.76290911560742,92.7949799208977,4.9313299882617,38.5868878616681,31.6090784038273,0,0.680418964138006
"13",1.2,6.76256609558436,92.7949663654957,4.9313300047984,38.5869077225352,31.6091003096943,0,0.680418980474247
"14",1.3,6.76217998152588,92.7949497241865,4.93133002670993,38.5869319361323,31.6091264240674,0,0.680419002118941
"15",1.4,6.76174937875297,92.794929614673,4.93133005511132,38.5869609981749,31.6091570874536,0,0.680419030172916
