"","time","Minute ventilation (l/min)","Arterial O2 partial pressure (mm Hg)","Total blood flow (l/min)","Arterial CO2 partial pressure (mm Hg)","Brain O2 partial pressure (mm Hg)","Antagonist plasma concentration (ng/ml)","Blood flow to brain (l/min)"
"1",0,6.76436765477461,92.7950184988885,4.9313299527367,38.5868300655299,31.6090098251018,0,0.680418929037924
"2",0.1,6.76436765477818,92.7950184989713,4.93132995273777,38.5868300655502,31.6090098251335,0,0.680418929039037
"3",0.2,6.76436765478187,92.7950184990537,4.93132995273884,38.5868300655706,31.6090098251655,0,0.680418929040148
"4",0.3,6.76436765478568,92.795018499136,4.93132995273991,38.5868300655911,31.6090098251977,0,0.680418929041259
"5",0.4,6.7643676547896,92.7950184992182,4.93132995274098,38.5868300656116,31.6090098252301,0,0.680418929042369
"6",0.5,6.76436765479365,92.7950184993004,4.93132995274205,38.5868300656322,31.6090098252627,0,0.680418929043479
"7",0.6,6.7643676547978,92.7950184993824,4.93132995274312,38.5868300656528,31.6090098252955,0,0.680418929044588
"8",0.7,6.76436765480207,92.7950184994646,4.93132995274419,38.5868300656735,31.6090098253284,0,0.680418929045696
"9",0.8,6.76436765480646,92.7950184995462,4.93132995274525,38.5868300656943,31.6090098253614,0,0.680418929046804
"10",0.9,6.76436765481095,92.7950184996281,4.93132995274632,38.5868300657151,31.6090098253945,0,0.680418929047911
"11",1,6.76436765481556,92.7950184997097,4.93132995274739,38.586830065736,31.6090098254277,0,0.680418929049018
"12",1.1,6.76436765482027,92.7950184997914,4.93132995274845,38.5868300657569,31.609009825461,0,0.680418929050124
"13",1.2,6.7643676548251,92.7950184998729,4.93132995274952,38.5868300657779,31.6090098254943,0,0.68041892905123
"14",1.3,6.76436765483002,92.7950184999542,4.93132995275058,38.5868300657988,31.6090098255277,0,0.680418929052335
"15",1.4,6.76436765483505,92.7950185000354,4.93132995275165,38.5868300658199,31.6090098255612,0,0.68041892905344
"16",1.5,6.76436765484019,92.7950185001167,4.93132995275271,38.586830065841,31.6090098255947,0,0.680418929054544
"17",1.6,6.76436765484542,92.7950185001976,4.93132995275378,38.5868300658621,31.6090098256283,0,0.680418929055648
